step,phase,tool_ms,update_ms,export_ms,metrics_ms,pipeline_ms,render_ms,faces,removed_mm3,planned_remaining_mm3,planned_removed_mm3,excess_removed_mm3,completion_pct,remaining_area_mm2,overcut_area_mm2
1,面粗,4.531499999757216,11.416899999858288,0.6594999995286344,20.69099999971513,37.30870000072173,74.67739999992773,40086,7.275957614183426e-12,846.6741685714587,4.707527750724694e-06,0.0,5.560022850931491e-07,480.5842776197221,10.132535189026479
2,面粗,3.2693999992261524,11.221200000363751,0.6721999998262618,21.461100000124134,36.63330000017595,20.664199999373523,40312,10.483011688651459,836.1911598391146,10.483013439871911,0.0,1.2381402162384925,480.27478485559305,10.132535189026479
3,面粗,2.9291999999259133,13.199699999859149,1.188700000056997,24.68689999932394,42.01369999918825,21.736800000326184,40312,10.483011688651459,836.1911598391146,10.483013439871911,0.0,1.2381402162384925,480.27478485559305,10.132535189026479
4,面粗,4.149100000176986,12.22680000046239,0.8774999996603583,23.06259999932081,40.325599999960104,22.16889999999694,40312,10.483011688651459,836.1911598391146,10.483013439871911,0.0,1.2381402162384925,480.27478485559305,10.132535189026479
5,面粗,2.413800000795163,13.186299999688345,1.297300000260293,24.901800000407093,41.80869999981951,22.17449999989185,40348,10.993577543435094,835.6805939843281,10.993579294658389,0.0,1.2984427353066206,480.2466631232627,10.132535189026479
6,面粗,3.114399999503803,15.021799999885843,0.6698999995933264,23.868799999945622,42.68240000055812,22.372399999767367,40572,19.680468140970333,826.9937077506067,19.680465528379727,2.612590606076992e-06,2.3244438237866083,478.9495060072605,10.132535189026479
7,面粗,3.106099999968137,14.111599999523605,1.0026999998444808,26.064599999699567,44.29299999992509,22.569400000065798,40824,27.32768141222914,819.3464963957059,27.32767688328056,4.528948579718417e-06,3.2276497554479975,478.76418478209973,10.132535189026479
8,面粗,2.3817999999664607,13.84209999923769,0.7765000000290456,24.895200000173645,41.904499999873224,21.915100000114762,40828,27.366467147119693,819.307710660813,27.3664626181735,4.528946192294825e-06,3.2322307071431142,478.7563809220313,10.132535189026479
9,面粗,2.806100000270817,11.588899999878777,0.9220000001732842,24.45700000043871,39.78050000023359,22.2407999999632,40904,28.311252336075995,818.3629254096173,28.31124786936914,4.466706855055236e-06,3.3438185269931857,478.8176835104442,10.132535189026479
10,面粗,2.9431000002659857,11.926000000130443,1.0269000003972906,25.662900000497757,41.56650000004447,21.279100000356266,41046,31.912717343642726,814.7614582001405,31.912715078845963,2.264796762574406e-06,3.769184898513545,479.004432323121,10.132535189026479
11,面粗,2.2751000005882815,11.499000000185333,1.0301000002073124,25.797399999646586,40.60930000014196,28.239299999768264,41046,31.91294318564178,814.7612323581401,31.91294092084638,2.2647953983323532e-06,3.769211572529069,479.0045207213021,10.132535189026479
12,面粗,2.4585000001025037,13.555400000768714,0.7678000001760665,25.409200000467536,42.19950000060635,22.75610000015149,41076,31.915170848573325,814.7590046952097,31.91516858377679,2.2647965352007304e-06,3.769474679991268,479.0032423032983,10.132535189026479
13,面粗,2.917400000114867,14.201699999830453,0.7889999997132691,25.24340000036318,43.15919999953621,22.885900000801485,41296,38.52681723628484,808.1473567777086,38.526816501277835,7.350070063694147e-07,4.550371053846107,477.92668343620585,10.132535189026479
14,面粗,2.9438999999911175,14.33649999944464,0.7845999998608022,27.180699999917124,45.25400000056834,23.84059999985766,41626,44.780912437105144,801.8932679037608,44.78090537522564,7.061879500724899e-06,5.289036419027506,476.48739773662123,10.132535189026479
15,面粗,2.600699999675271,13.560599999436818,0.8327000005010632,26.618900000357826,43.62109999965469,24.889899999834597,41626,44.780912437105144,801.8932679037608,44.78090537522564,7.061879500724899e-06,5.289036419027506,476.48739773662123,10.132535189026479
16,面粗,2.5972000003093854,12.741399999868008,0.7461999994120561,26.80529999997816,42.89760000028764,23.1751000001168,41626,44.780912437105144,801.8932679037608,44.78090537522564,7.061879500724899e-06,5.289036419027506,476.48739773662123,10.132535189026479
17,面粗,2.9073000005155336,13.030699999944773,0.8066000000326312,25.511899999401066,42.26329999983136,21.17369999996299,41784,48.92989293739811,797.7442906521412,48.929882626845256,1.0310552852388355e-05,5.779068757624952,476.53838489328393,10.132535189026479
18,面粗,2.9586000000563217,13.226500000200758,0.8432999993601697,26.833800000531483,43.87060000044585,20.666700000219862,41946,53.80422457041277,792.8699590575914,53.804214221395114,1.0349017657063087e-05,6.354772109443589,476.516714150495,10.132535189026479
19,面粗,2.4088999998639338,11.104700000032608,0.7976999995662482,25.81319999990228,40.13140000006388,21.633100000144623,41946,53.80422457041277,792.8699590575914,53.804214221395114,1.0349017657063087e-05,6.354772109443589,476.516714150495,10.132535189026479
20,面粗,2.419999999801803,12.230700000145589,0.7387999994534766,24.273200000607176,39.67130000000907,20.743900000525173,41946,53.80422457041277,792.8699590575914,53.804214221395114,1.0349017657063087e-05,6.354772109443589,476.516714150495,10.132535189026479
21,面粗,2.8199999997013947,12.935200000356417,0.7063999992169556,26.061700000354904,42.53279999920778,21.54549999977462,42196,60.1221355666421,786.5520536639533,60.12211961503317,1.5951608929754002e-05,7.10097479201393,475.5065492715373,10.132535189026479
22,面粗,3.7459000004673726,12.285699999665667,0.8228000006056391,27.502900000399677,44.366099999933795,21.82840000023134,42468,66.0437330280256,780.6304587814085,66.04371449757798,1.8530447619014012e-05,7.800369561504979,474.67534193537324,10.132535189026479
23,面粗,2.813099999912083,11.104500000328699,0.80080000043381,26.870400000007066,41.60070000034466,21.867200000087905,42468,66.0437330280256,780.6304587814085,66.04371449757798,1.8530447619014012e-05,7.800369561504979,474.67534193537324,10.132535189026479
24,面粗,3.6405000000740984,11.10309999967285,1.0089000006701099,28.45320000051288,44.21419999926002,21.058499999526248,42468,66.0437330280256,780.6304587814085,66.04371449757798,1.8530447619014012e-05,7.800369561504979,474.67534193537324,10.132535189026479
25,面粗,3.7295000001904555,12.292400000660564,1.0186999998040847,27.95940000032715,45.0090000003911,21.396699999968405,42676,71.24340959692927,775.4307856325747,71.24338764641175,2.195051752096333e-05,8.41449874046606,474.20945372331573,10.132535189026479
26,面粗,2.7061999999205,11.56749999972817,0.7269999996424303,26.805200000126206,41.81269999935466,20.941599999787286,42846,75.95386975709698,770.7203180430029,75.95385523598361,1.4521113371301908e-05,8.970848247541403,473.73366306293684,10.132535189026479
27,面粗,2.531500000259257,10.807100000420178,0.7334000001719687,26.872500000536093,40.952000000288535,21.087500000248838,42846,75.95386975709698,770.7203180430029,75.95385523598361,1.4521113371301908e-05,8.970848247541403,473.73366306293684,10.132535189026479
28,面粗,3.7660999996660394,11.852500000713917,0.7233000005726353,27.727700000468758,44.07719999926485,21.41879999999219,42846,75.95386975709698,770.7203180430029,75.95385523598361,1.4521113371301908e-05,8.970848247541403,473.73366306293684,10.132535189026479
29,面粗,3.92920000012964,12.077400000634952,0.7193999999799416,26.93859999999404,43.67309999997815,21.536899999773595,43100,81.0678101142912,765.6063784511877,81.06779482779882,1.528649238480284e-05,9.574851505608201,473.2143911275129,10.132535189026479
30,面粗,3.4885999994003214,12.030099999719823,0.7795000001351582,27.512300000125833,43.819299999995565,35.6275000003734,43228,85.07713875757327,761.5970540863522,85.07711919263431,1.9564938952498778e-05,10.04838955499835,472.91206074968574,10.132535189026479
31,面粗,3.2347999995181453,11.061400000471622,0.8152000000336557,27.496400000018184,42.616800000359945,22.413300000152958,43228,85.07713875757327,761.5970540863522,85.07711919263431,1.9564938952498778e-05,10.04838955499835,472.91206074968574,10.132535189026479
32,面粗,2.7689000007740106,11.444600000686478,0.7768999994368642,27.344400000401947,42.34230000020034,22.226900000532623,43228,85.07713875757327,761.5970540863522,85.07711919263431,1.9564938952498778e-05,10.04838955499835,472.91206074968574,10.132535189026479
33,面粗,4.210899999634421,12.815699999919161,1.0181999996348168,30.462400000033085,48.51589999998396,25.58619999945222,43352,89.73668282011204,756.9375199612252,89.73665331776124,2.9502350798793486e-05,10.598723351892325,472.75919201791277,10.132535189026479
34,面粗,3.427699999519973,13.137999999344174,1.0037000001830165,31.642299999475654,49.21879999983503,24.20650000021851,43528,94.96945968102227,751.7047382088505,94.969435070136,2.4610886271148047e-05,11.216762961168387,472.7052763149001,10.132535189026479
35,面粗,2.9467999993357807,12.160500000391039,1.0269000003972906,30.35490000002028,46.49670000071637,23.861500000748492,43528,94.96945968102227,751.7047382088505,94.969435070136,2.4610886271148047e-05,11.216762961168387,472.7052763149001,10.132535189026479
36,面粗,2.5519999999232823,11.475000000245927,1.0104000002684188,30.918499999643245,45.964200000526034,24.039200000515848,43528,94.96945968102227,751.7047382088505,94.969435070136,2.4610886271148047e-05,11.216762961168387,472.7052763149001,10.132535189026479
