step,phase,tool_ms,update_ms,export_ms,metrics_ms,pipeline_ms,render_ms,faces,remaining_faces,overcut_faces,removed_mm3,completion_pct
1,面粗,2.779200000077253,11.021599999821774,0.8533999998689978,9.745400000156224,24.408299999777228,0.0,40086,747,43,7.275957614183426e-12,8.593576602801032e-13
2,面粗,2.6336999999330146,11.213499999939813,1.1001999996551604,10.639900000114721,25.59830000018337,0.0,40312,823,43,10.483011688651459,1.2381403074541582
3,面粗,4.080199999862089,11.046300000089104,1.365900000109832,10.158300000057352,26.65850000039427,0.0,40312,823,43,10.483011688651459,1.2381403074541582
4,面粗,2.4702000000615953,10.686099999929866,1.139200000125129,10.149499999897671,24.452300000120886,0.0,40312,823,43,10.483011688651459,1.2381403074541582
5,面粗,1.9588000000112515,11.113499999737542,1.2550999999803025,11.07049999973242,25.406500000372034,0.0,40348,859,43,10.993577543435094,1.2984428410382571
6,面粗,2.433200000268698,12.078199999905337,0.9469999999964784,10.15319999987696,25.619600000027276,0.0,40572,880,43,19.680468140970333,2.324444691908703
7,面粗,2.504600000065693,11.434200000167039,1.22609999971246,11.38119999995979,26.553900000180874,0.0,40824,932,43,27.32768141222914,3.227651067333618
8,面粗,1.9157000001541746,11.508499999763444,1.0846999998648243,10.499800000161486,25.01480000000811,0.0,40828,936,43,27.366467147119693,3.232232020131201
9,面粗,2.5380000001860026,10.737600000084058,1.2613000003511843,11.243999999805965,25.78719999974055,0.0,40904,997,43,28.311252336075995,3.3438198594921786
10,面粗,2.6175000002695015,11.658599999918806,1.2271999999029504,10.735400000157824,26.24519999972108,0.0,41046,1047,43,31.912717343642726,3.7691860733428553
11,面粗,2.177699999720062,10.335899999972753,1.2394999998832645,10.600000000067666,24.36039999975037,0.0,41046,1047,43,31.91294318564178,3.76921274736464
12,面粗,1.9525000002431625,9.877200000119046,0.6949999997232226,10.586699999748816,23.119500000120752,0.0,41076,1077,43,31.915170848573325,3.769475854890309
13,面粗,2.4431000001641223,10.908599999766011,0.9077999998226005,10.40080000029775,24.66889999959676,0.0,41296,1087,43,38.52681723628484,4.550372236043957
