step,phase,roundtrip_ms,roundtrip_faces,roundtrip_removed_mm3,resident_ms,resident_faces,resident_removed_mm3,volume_delta_mm3,speedup
42,面粗,43.81140001351014,47048,112.13325513507152,11.11799996579066,44162,112.13325394418644,1.190885086543858e-06,3.9405828519801114
43,面粗,43.515500030480325,47044,112.13325513443124,9.592300048097968,44162,112.13325394418644,1.19024480227381e-06,4.536503217401847
44,面粗,43.140800029505044,47044,112.13325513443124,10.355600039474666,44162,112.13325394418644,1.19024480227381e-06,4.1659391889466555
45,面粗,44.00689998874441,47188,113.08607563545957,10.370299976784736,44264,113.08607248686894,3.1485906220041215e-06,4.243551303941021
46,面粗,44.14159996667877,47220,113.14782234431914,9.992800012696534,44286,113.14782023455336,2.109765773639083e-06,4.417340476202251
47,面粗,43.88960002688691,47220,113.14782234429003,10.077499959152192,44286,113.14782023455336,2.109736669808626e-06,4.355207164950392
48,面粗,44.53810001723468,47466,118.06329281420767,11.954099987633526,44402,118.06329258564074,2.2856693249195814e-07,3.7257593681924353
49,面粗,43.967600038740784,47674,121.8234487014779,11.511199991218746,44534,121.82345086449641,2.1630185074172914e-06,3.8195496622664207
50,面粗,43.95290004322305,47664,121.82344869695225,9.919499978423119,44534,121.82345086449641,2.1675441530533135e-06,4.4309592357305645
51,面粗,46.16360005456954,47664,121.82344869695225,11.046999949030578,44534,121.82345086449641,2.1675441530533135e-06,4.178835907265538
52,面粗,45.20260001299903,47664,121.82344869695225,11.324200022500008,44534,121.82345086449641,2.1675441530533135e-06,3.9916815248040622
53,面粗,46.013600018341094,47786,123.07526637913543,11.442699993494898,44602,123.07527052090154,4.141766112297773e-06,4.021218772186593
54,面粗,46.43840005155653,47782,123.07526637913543,10.265599994454533,44602,123.07527052090154,4.141766112297773e-06,4.523690780533286
55,面精,45.28260004008189,47782,123.07526637913543,10.165699990466237,44602,123.07527052090154,4.141766112297773e-06,4.45444977547533
56,面精,48.70619997382164,48510,133.5354753724023,12.113400036469102,44908,133.53548063245398,5.260051693767309e-06,4.020852925453196
57,面精,47.38170001655817,48498,133.55765143172903,11.059499986004084,44906,133.55765710579726,5.6740682339295745e-06,4.284253363761492
58,面精,45.422299997881055,48580,136.96265272040182,11.588299996219575,44968,136.96265963991027,6.91950845066458e-06,3.9196689775634965
59,面精,45.35349999787286,48588,141.7985527226483,10.67930000135675,44940,141.7985556907879,2.9681395972147584e-06,4.246860748561322
60,面精,48.88260003644973,50136,148.89786594139878,11.821899970527738,45250,148.89786385327898,2.0881197997368872e-06,4.134919104231566
61,面精,52.20559996087104,52654,157.64263108658633,13.18190002348274,45556,157.6426275244812,3.562105121091008e-06,3.960400235767984
62,面精,62.66250001499429,52654,161.62195635772514,11.261000006925315,45554,161.6219621756827,5.817957571707666e-06,5.564559095680488
63,面精,50.03390001365915,52668,168.76524393575528,11.50320004671812,45538,168.76524668309867,2.747343387454748e-06,4.349563583216471
64,面精,50.675900012720376,53070,176.14702235813456,11.41590002225712,45740,176.14703191948502,9.561350452713668e-06,4.4390630536286775
65,面精,49.76860003080219,53102,177.83291231494513,11.638299969490618,45744,177.8329165028117,4.1878665797412395e-06,4.276277477060118
66,面精,51.21589999180287,53178,180.30142780937604,11.452000006102026,45760,180.30143768675043,9.877374395728111e-06,4.472223189356728
67,面精,57.92519997339696,55694,186.14263422359363,12.624100025277585,45926,186.14264048676705,6.26317341811955e-06,4.58846174043391
68,面精,57.53930000355467,58126,192.48840630436462,12.963799992576241,46338,192.48840523661056,1.067754055839032e-06,4.438459405151631
69,面精,54.192100011277944,58128,193.0633016762149,11.346900020726025,46340,193.063302158851,4.826360964216292e-07,4.775938794938857
70,面精,54.76740002632141,58206,194.30650637525105,11.381199990864843,46364,194.30650391904783,2.4562032194808125e-06,4.8120936342635785
71,面精,57.53459996776655,59132,200.30476122067194,12.066399969626218,46512,200.30475878595462,2.434717316646129e-06,4.7681661566493565
72,面精,59.09469997277483,60364,206.99288406699634,12.041399953886867,46688,206.99287253355578,1.1533440556377172e-05,4.907627036646976
73,面精,56.623199954628944,60354,207.13540970473696,10.873000021092594,46686,207.13539643502736,1.3269709597807378e-05,5.207688756073327
74,面精,55.75310002313927,60454,207.56640116406925,11.570100032258779,46748,207.56638241032488,1.875374437076971e-05,4.818722385086833
75,面精,66.4091999642551,62782,213.55821070278762,13.373800029512495,46954,213.55819016935857,2.0533429051283747e-05,4.965619331656469
76,面精,87.05279999412596,64778,219.92387385402253,13.540100015234202,47264,219.92384089886764,3.29551548929885e-05,6.429258269597812
77,面精,86.88199997413903,64794,220.1026745062627,10.618200001772493,47268,220.1026458053966,2.8700866096187383e-05,8.18236612228399
78,面精,58.143500005826354,64854,220.75318869924376,11.945399979595095,47304,220.7531656649735,2.3034270270727575e-05,4.867438520698007
79,面精,61.62330001825467,66276,226.89212073289673,12.373900040984154,47562,226.89209761268285,2.312021388206631e-05,4.980103266888317
80,面精,67.27840000530705,67724,233.5805673559662,12.514900008682162,47888,233.58054757932405,1.97766421479173e-05,5.375863966842158
81,面精,62.127199955284595,67706,233.7501926473633,10.914399987086654,47880,233.75017288137315,1.9765990145970136e-05,5.692223120720355
82,面精,62.588199973106384,67798,234.71625167814636,11.979900009464473,47924,234.71624334961234,8.328534022439271e-06,5.224434254347688
83,面精,69.53430001158267,69720,240.6956782882262,13.194900006055832,48146,240.69568302640255,4.738176357932389e-06,5.2697860521618
84,面精,69.319500005804,71170,247.45518801315484,12.461300007998943,48428,247.45518495482975,3.058325091842562e-06,5.562782371125615
85,面精,66.05379999382421,71138,248.3923618288536,11.637199961114675,48426,248.39234646711702,1.536173658678308e-05,5.676090486933355
86,面精,65.3732999926433,71228,249.31181353790453,11.468100012280047,48480,249.31181064360862,2.894295903388411e-06,5.70044732105942
87,面精,70.92520000878721,72598,255.3838810163652,12.683600012678653,48628,255.38388018817932,8.281858754344285e-07,5.591882425958693
88,面精,71.75589998951182,74008,262.4537829270412,12.841399991884828,48918,262.45378651478677,3.5877455957233906e-06,5.5878564669629665
89,面精,70.46389998868108,74068,263.5174746508492,11.099499999545515,48932,263.5174695569949,5.093854269944131e-06,6.348385061630373
90,面精,65.48849999671802,74130,266.0756010492405,11.440800037235022,48950,266.07559604202106,5.007219442632049e-06,5.724118923814797
91,面精,74.30360000580549,76120,271.89014244495775,28.099599992856383,49202,271.8901453451617,2.9002039809711277e-06,2.6442938698307206
92,面精,72.33129994710907,77108,278.4511652447618,12.554000015370548,49374,278.4511767437434,1.14989816211164e-05,5.7616138169945765
93,面精,78.94879998639226,77124,280.50701433596987,11.182399990502745,49376,280.5070083827304,5.953239451628178e-06,7.0600944388900215
94,面精,81.41240000259131,77172,283.8844082810683,11.840300052426755,49394,283.88439769040997,1.0590658348519355e-05,6.87587304731397
95,面精,85.11380001436919,78544,289.4182977834207,13.560200051870197,49614,289.4182860221699,1.1761250789277256e-05,6.276736308372564
96,面精,88.44169997610152,80030,296.36123699627933,12.94469996355474,49808,296.3612166011735,2.0395105821080506e-05,6.832271139934137
97,面精,85.4035000083968,80030,299.071971346355,12.350899982266128,49812,299.0719492003991,2.2145955881569535e-05,6.914759258922205
98,面精,85.68359998753294,80074,301.99644223041105,11.856900004204363,49822,301.99641943062306,2.2799787984695286e-05,7.226475719382825
99,面精,97.04199997941032,80540,306.5052665376861,11.452100006863475,49942,306.50523546503973,3.1072646379470825e-05,8.473729702085302
100,面精,91.86739998403937,80892,311.1761612799528,12.216200004331768,50124,311.17612611709774,3.5162855056114495e-05,7.520129005047717
101,面精,74.9179000267759,80930,316.0396988887005,12.579799978993833,50128,316.039657874775,4.101392551092431e-05,5.9554126577430715
102,面精,76.7908000270836,82042,322.1883693775235,13.388899969868362,50326,322.1883329013581,3.64761654054746e-05,5.73540770338869
103,面精,78.08840001234785,82836,329.3361903493351,13.346599997021258,50538,329.33616195341165,2.839592343661934e-05,5.850808447827604
104,面精,75.38070000009611,82808,333.25936245387857,11.859900027047843,50528,333.2593381244951,2.432938345009461e-05,6.355930473965371
105,面精,73.82010004948825,82846,335.6326733461174,11.603699997067451,50536,335.63264919098583,2.415513154119253e-05,6.361772543942402
106,面精,74.8491000267677,82948,338.85833721287054,12.327899981755763,50580,338.8583086480139,2.8564856620505452e-05,6.0715207081123275
107,面精,76.32059999741614,83116,343.3018463765111,12.374200043268502,50650,343.3018171627118,2.9213799280114472e-05,6.167719911634541
108,面精,75.36850002361462,83172,343.4833197564949,11.369000014383346,50692,343.4832891242622,3.06322326650843e-05,6.629298964575875
109,台粗,74.09190002363175,83734,395.0940432883508,11.908899992704391,51206,395.09400904439826,3.424395254114643e-05,6.221556992587208
110,台粗,78.92770000034943,84730,457.89311782729783,13.371000008191913,51920,457.8930797488865,3.807841130765155e-05,5.902901798817843
111,台粗,82.44209998520091,85972,492.95737405954424,14.186899992637336,52622,492.9573355377579,3.8521786336787045e-05,5.811142675847888
112,台粗,82.88140001241118,86794,534.668801490865,13.544199988245964,53252,534.6687741185087,2.7372356271371245e-05,6.119327836589682
113,台粗,84.49909999035299,87492,559.0624578805873,14.067000010982156,53738,559.0624289389161,2.8941671189386398e-05,6.006902674655879
114,台粗,89.08060000976548,88522,589.4587458900132,15.022300009150058,54388,589.4587119816133,3.3908399927895516e-05,5.929890892573483
115,台粗,90.41520004393533,88484,606.7656067073185,12.570799968671054,54380,606.7655761395581,3.056776040466502e-05,7.19247782712859
116,台粗,98.95670000696555,89394,619.3681917064532,15.047799970488995,54888,619.3681572076603,3.44987929565832e-05,6.576157325392055
117,台粗,102.61870000977069,90494,653.3544878151733,16.017199959605932,55584,653.3544535939945,3.422117879381403e-05,6.406781476697966
118,台粗,101.71670001000166,91716,669.5445393157934,15.90070000384003,56134,669.5445036277233,3.5688070056494325e-05,6.396995099928746
119,台粗,105.2668999764137,92998,691.0437725084194,16.302500036545098,57036,691.0437370846339,3.542378544807434e-05,6.457101655601183
120,台粗,106.41079995548353,94540,696.7856189907106,15.72590001160279,57962,696.7855785270294,4.046368121635169e-05,6.7665952267897005
121,台粗,109.22340000979602,96010,698.6551581228923,15.778300003148615,58830,698.6551163991171,4.172377521172166e-05,6.922380737341799
122,台精,120.68490003002807,98012,703.1811431459209,16.13770000403747,59432,703.1811055475628,3.7598358176182956e-05,7.478444883709208
123,台精,121.27800000598654,102300,711.2716728637679,17.8340999991633,60422,711.2716377783945,3.5085373383481055e-05,6.800343163472022
124,台精,143.24770000530407,107444,717.1198931576,19.754900014959276,61444,717.1198462108805,4.694671952165663e-05,7.251249051973467
125,台精,121.70219997642562,111198,723.568968531974,18.470100010745227,62080,723.5689259139908,4.261798312654719e-05,6.5891467780696225
126,台精,110.83640001015738,114692,728.24383127904,20.22959996247664,62810,728.2437797240564,5.1554983656387776e-05,5.478921986383563
127,台精,114.79620001045987,119928,733.0984241564656,20.745699992403388,63530,733.0983636289238,6.052754179108888e-05,5.533493690379003
128,台精,104.75529998075217,119914,736.0234259425852,14.674600039143115,63532,736.0233672562754,5.8686309785116464e-05,7.138545493664377
129,台精,117.84160003298894,125206,739.1038191790067,19.303300010506064,64212,739.1037621561409,5.702286580344662e-05,6.104738566403266
130,台精,128.52399999974295,130690,745.0325403274546,19.99439997598529,64940,745.0324816524662,5.8674988395068794e-05,6.4279998476628215
131,台精,127.05139996251091,137196,749.1870859967385,19.335700024385005,65520,749.187023931634,6.206510443007573e-05,6.570819768732522
132,台精,143.8460999634117,143286,755.0358504996475,20.012499997392297,66698,755.0357848045533,6.569509423570707e-05,7.1878126162226295
133,台精,165.0200000149198,150008,758.7463103268819,31.89129999373108,67470,758.7462428222425,6.750463944626972e-05,5.174451968008768
134,台精,189.5677000284195,155388,760.4020737338069,20.04289999604225,68304,760.4020038623858,6.987142114667222e-05,9.458097384403068
135,柱钻,157.8330000047572,155358,760.4020737565224,16.123900015372783,68304,760.4020038623858,6.98941366863437e-05,9.788760774643647
136,柱钻,152.83259999705479,156016,766.4818927467641,17.36300002085045,68928,766.4818240106033,6.87361607560888e-05,8.802200069891434
137,柱钻,162.0005999575369,157554,793.8536124489692,20.904500037431717,69930,793.8535501632796,6.228568963706493e-05,7.749556299718133
138,柱钻,175.4858999629505,160758,816.4247680381886,22.81840000068769,71482,816.4247039015827,6.413660594262183e-05,7.69054359454045
