step,total_steps,phase,tool_ms,update_ms,export_ms,metrics_ms,pipeline_ms,render_ms,faces,removed_mm3,completion_pct,degenerate_faces
1,138,面粗,3.0386999999336695,11.382400000002235,1.2239000000136002,5.833799999891198,21.483499999931155,0.0,40086,7.275957614183426e-12,8.593576602801032e-13,0
2,138,面粗,2.62750000001688,12.036799999805226,1.3096000000132335,6.457000000182234,22.437200000013036,0.0,40312,10.483011688651459,1.2381403074541582,0
3,138,面粗,2.582599999868762,12.261000000080458,1.1968000001161272,6.102900000087175,22.14870000011615,0.0,40312,10.483011688651459,1.2381403074541582,0
4,138,面粗,2.5250999999570922,11.35359999989305,1.2928000001011242,5.940299999792842,21.11730000001444,0.0,40312,10.483011688651459,1.2381403074541582,0
5,138,面粗,2.213900000015201,10.828100000026097,1.4032999999926687,6.077000000004773,20.528600000034203,0.0,40348,10.993577543435094,1.2984428410382571,0
6,138,面粗,2.5682999998934974,12.617000000091139,1.3333000001694018,6.228599999985818,22.752300000092873,0.0,40572,19.680468140970333,2.324444691908703,4
7,138,面粗,2.659499999936088,12.217400000054113,1.331400000026406,6.526399999984278,22.740699999985736,0.0,40824,27.32768141222914,3.227651067333618,8
8,138,面粗,2.1535999999287014,11.593299999958617,1.0088999999879888,5.763799999840558,20.524199999954362,0.0,40828,27.366467147119693,3.232232020131201,8
9,138,面粗,2.379000000019005,11.594199999990451,1.4484000000720698,6.292100000109713,21.71849999990627,0.0,40904,28.311252336075995,3.3438198594921786,8
10,138,面粗,2.704400000084206,12.615800000048694,1.3974000000871456,6.0336999999890395,22.756400000162103,396.9360000000961,41046,31.912717343642726,3.7691860733428553,8
11,138,面粗,2.2989999999936117,11.71159999989868,1.356900000018868,5.767099999957281,21.141299999953844,0.0,41046,31.91294318564178,3.76921274736464,8
12,138,面粗,2.098100000011982,10.223900000028152,1.289199999973789,6.385099999988597,20.003099999939877,0.0,41076,31.915170848573325,3.769475854890309,8
13,138,面粗,2.452700000048935,12.889999999970314,1.3245000000097207,6.193199999870558,22.866099999873768,0.0,41296,38.52681723628484,4.550372236043957,10
14,138,面粗,2.555199999960678,12.060100000098828,1.426499999979569,6.736700000146811,22.78400000000147,0.0,41626,44.780912437105144,5.289038526302319,18
15,138,面粗,2.0243999999820517,11.267699999962133,1.418899999862333,6.186400000160575,20.902700000078767,0.0,41626,44.780912437105144,5.289038526302319,18
16,138,面粗,2.2283999999217485,10.820499999908861,1.2815000000045984,6.22960000009698,20.56470000002264,0.0,41626,44.780912437105144,5.289038526302319,18
17,138,面粗,2.404500000011467,12.262599999985468,1.4314000000013039,6.312799999932395,22.41720000006353,0.0,41784,48.92989293739811,5.779071366560925,18
18,138,面粗,2.4743999999827793,12.14679999998225,1.428299999815863,6.60979999997835,22.665200000119512,0.0,41946,53.80422457041277,6.3547748615086315,20
19,138,面粗,2.1581000000878703,11.67129999998906,1.4386000000286003,6.865800000014133,22.139800000104515,0.0,41946,53.80422457041277,6.3547748615086315,20
20,138,面粗,1.9518999999945663,11.384099999986574,0.8060999998633633,5.738999999948646,19.886399999904825,367.00710000013714,41946,53.80422457041277,6.3547748615086315,20
21,138,面粗,3.022299999884126,14.0168000000358,1.466100000016013,7.005000000162909,25.517699999909382,0.0,42196,60.1221355666421,7.100978385426067,16
22,138,面粗,2.7046999998674437,12.794299999995928,0.9093999999549851,6.340200000067853,22.75469999995039,0.0,42468,66.0437330280256,7.800373627863339,20
23,138,面粗,2.0787000000836997,10.641599999871687,0.8196999999654508,7.063400000106412,20.609599999943384,0.0,42468,66.0437330280256,7.800373627863339,20
24,138,面粗,2.0879999999579013,10.73269999983495,1.5407999999297317,6.349900000031994,20.71750000004613,0.0,42468,66.0437330280256,7.800373627863339,20
25,138,面粗,2.5038999999651423,12.128299999858427,0.9939999999915017,7.092000000056942,22.723899999846253,0.0,42676,71.24340959692927,8.414503358602268,26
26,138,面粗,2.36599999993814,11.66760000000977,1.0526999999456166,6.598600000188526,21.68959999994513,0.0,42846,75.95386975709698,8.97085212212357,32
27,138,面粗,2.139100000022154,10.377300000072864,0.7418000000143365,6.036400000084541,19.30040000002009,0.0,42846,75.95386975709698,8.97085212212357,32
28,138,面粗,2.1303000000898464,9.884100000135732,0.8166999998593383,6.376100000125007,19.212900000184163,0.0,42846,75.95386975709698,8.97085212212357,32
29,138,面粗,2.4650000000292493,11.793800000077681,1.15589999995791,6.5494000000398955,21.96989999993093,0.0,43100,81.0678101142912,9.574855615987195,42
30,138,面粗,2.5450000000546424,11.805399999957444,1.0350000000016735,6.526600000142935,21.91779999998289,469.58249999988766,43228,85.07713875757327,10.04839428469363,46
31,138,面粗,2.5654999999460415,11.301500000172382,1.36579999980313,5.914699999948425,21.153099999992264,0.0,43228,85.07713875757327,10.04839428469363,46
32,138,面粗,2.760999999964042,11.099800000010873,1.2501999999585678,6.053999999949156,21.171999999978652,0.0,43228,85.07713875757327,10.04839428469363,46
33,138,面粗,2.6828999998542713,13.282399999980044,1.4231000000108907,6.307699999979377,23.701500000015585,0.0,43352,89.73668282011204,10.598729387766486,48
34,138,面粗,2.5932000000921107,13.23339999999007,1.5429999998559651,6.993499999907726,24.369399999841335,0.0,43528,94.96945968102227,11.216768568092904,50
35,138,面粗,2.1123999999872467,11.504999999942811,0.9924000000864908,7.71719999988818,22.332499999947686,0.0,43528,94.96945968102227,11.216768568092904,50
36,138,面粗,2.4946000000909407,11.235100000021703,0.9806000000480708,6.626799999821742,21.342699999877368,0.0,43528,94.96945968102227,11.216768568092904,50
37,138,面粗,2.4918999999954394,13.013699999874007,1.4460999998391344,7.056399999783025,24.014299999862487,0.0,43736,98.2193897730831,11.600615268153804,54
38,138,面粗,2.6023000000350294,12.998500000094282,1.03039999999055,6.824800000003961,23.46180000017739,0.0,43846,100.55434635657002,11.876395163095667,54
39,138,面粗,2.214399999957095,11.335499999859167,1.4737999999852036,6.795200000169643,21.823799999992843,0.0,43846,100.55434635657002,11.876395163095667,54
40,138,面粗,2.0402999998623272,12.434700000085286,5.777099999932034,6.5935000000081345,26.851000000078784,372.43549999993775,43846,100.55434635657002,11.876395163095667,54
41,138,面粗,3.009600000041246,11.330600000064805,1.0307999998531159,6.459599999971033,21.836500000063097,0.0,44002,106.4874828323882,12.577153269498387,54
42,138,面粗,2.472899999929723,10.977000000139014,1.0973000000831235,6.177700000080222,20.73100000006889,0.0,44162,112.13325394418644,13.243970877623838,56
43,138,面粗,2.0462999998471787,11.550700000043435,1.380500000095708,9.181599999919854,24.166500000092128,0.0,44162,112.13325394418644,13.243970877623838,56
44,138,面粗,2.030099999956292,11.650400000007721,1.080700000102297,6.408200000123543,21.17610000004788,0.0,44162,112.13325394418644,13.243970877623838,56
45,138,面粗,2.591599999959726,10.80380000007608,0.9684999999990396,6.3409000001684035,20.710900000040056,0.0,44264,113.08607248686894,13.356507530107212,56
